DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
2467,114.5472159,21.66685321,17.549,0.013,16.422,0.007,16.096,0.015,15.99,0.018,15.961,0.011
1772,114.5472929,21.58444306,21.689,0.128,19.426,0.015,18.424,0.01,18.026,0.019,17.818,0.024
388,114.5473091,21.46584674,17.68,0.011,16.507,0.007,16.105,0.01,15.991,0.012,15.972,0.012
145,114.5473157,21.44028065,99.999,9.999,22.877,0.179,21.107,0.077,20.401,0.084,19.868,0.118
2268,114.5475723,21.64028548,99.999,9.999,20.707,0.032,19.305,0.016,18.734,0.015,18.413,0.037
2015,114.5476671,21.61120726,99.999,9.999,99.999,9.999,22.301,0.143,21.025,0.073,20.538,0.153
1140,114.5479543,21.53181877,99.999,9.999,23.038,0.185,21.368,0.052,20.561,0.049,20.148,0.099
2892,114.5479709,21.72550896,99.999,9.999,22.52,0.108,20.462,0.064,19.848,0.075,19.432,0.079
1942,114.5480232,21.60315957,99.999,9.999,22.984,0.162,21.528,0.066,20.314,0.038,19.607,0.072
2402,114.5482368,21.65916363,99.999,9.999,22.664,0.13,20.986,0.087,20.38,0.087,19.786,0.097
983,114.5482775,21.52103449,18.649,0.018,16.972,0.009,16.313,0.013,16.048,0.008,15.902,0.013
1808,114.5484002,21.58838158,99.999,9.999,21.165,0.04,19.848,0.022,19.303,0.023,19.035,0.047
484,114.5484238,21.47600532,99.999,9.999,22.657,0.134,22.157,0.152,21.749,0.113,99.999,9.999
1565,114.5484452,21.5662154,99.999,9.999,23.059,0.214,21.889,0.086,20.429,0.034,19.744,0.078
100,114.5484822,21.43673389,99.999,9.999,23.101,0.212,21.917,0.122,20.868,0.061,20.017,0.111
1413,114.5486234,21.55220268,99.999,9.999,23.226,0.28,21.572,0.077,20.625,0.052,19.994,0.11
1330,114.5486889,21.54601003,99.999,9.999,23.317,0.264,21.676,0.085,20.77,0.047,20.163,0.12
2009,114.5488334,21.61181999,20.742,0.059,18.822,0.014,18.085,0.008,17.832,0.021,17.698,0.019
1587,114.5489007,21.56857132,99.999,9.999,22.39,0.104,21.104,0.05,20.346,0.037,19.765,0.088
1382,114.5489616,21.55013412,99.999,9.999,22.48,0.124,21.153,0.067,20.668,0.05,20.131,0.104
1952,114.5490202,21.60554253,20.71,0.062,18.829,0.014,18.069,0.009,17.815,0.024,17.684,0.021
2420,114.5491164,21.66263626,21.734,0.149,19.719,0.016,18.908,0.016,18.598,0.037,18.512,0.03
1427,114.5492731,21.55369721,99.999,9.999,23.487,0.282,21.571,0.089,20.531,0.045,19.924,0.112
676,114.5493908,21.49537698,99.999,9.999,22.962,0.196,21.626,0.075,21.078,0.064,21.027,0.228
3049,114.5494379,21.7489678,16.225,0.009,14.982,0.006,14.573,0.005,14.432,0.005,14.362,0.026
2853,114.5495358,21.72283552,16.106,0.007,14.981,0.006,14.771,0.005,14.72,0.009,14.729,0.014
1788,114.5496392,21.5881435,99.999,9.999,22.04,0.083,20.742,0.041,19.918,0.031,19.505,0.063
625,114.5497359,21.49090401,99.999,9.999,23.309,0.285,21.771,0.089,21.322,0.067,20.767,0.18
2600,114.5498102,21.68588633,99.999,9.999,20.97,0.029,19.647,0.021,18.885,0.016,18.433,0.036
1739,114.5498434,21.58434402,21.57,0.119,19.49,0.018,18.5,0.011,18.115,0.022,17.87,0.028
2845,114.5498459,21.72188746,16.725,0.007,15.61,0.006,15.358,0.004,15.288,0.009,15.281,0.015
608,114.5501797,21.48998004,99.999,9.999,21.151,0.036,19.812,0.025,19.272,0.019,18.965,0.047
875,114.5501965,21.51597191,21.256,0.081,19.206,0.013,18.368,0.014,18.066,0.014,17.951,0.029
344,114.5502235,21.46532432,19.402,0.025,17.938,0.009,17.342,0.014,17.174,0.013,17.091,0.017
75,114.550364,21.43538519,21.415,0.107,19.087,0.017,18.154,0.013,17.808,0.02,17.591,0.02
1900,114.550536,21.60055662,19.172,0.02,17.858,0.012,17.327,0.009,17.112,0.023,17.002,0.015
2814,114.5505457,21.71841691,99.999,9.999,21.344,0.043,19.963,0.03,19.382,0.02,19.026,0.056
1889,114.5506509,21.5990119,99.999,9.999,23.268,0.224,21.684,0.08,20.702,0.047,20.071,0.112
1959,114.5506829,21.60811839,99.999,9.999,22.307,0.106,21.077,0.051,20.205,0.035,19.8,0.073
364,114.5507848,21.46775351,99.999,9.999,21.462,0.05,21.172,0.057,21.013,0.066,20.965,0.198
2784,114.5508414,21.71440505,21.163,0.107,19.485,0.013,18.758,0.013,18.538,0.015,18.445,0.034
965,114.55085,21.52245934,19.586,0.029,17.808,0.01,17.084,0.013,16.834,0.009,16.685,0.013
1999,114.5509025,21.61288031,99.999,9.999,22.819,0.182,21.904,0.091,20.783,0.054,20.186,0.116
2992,114.5510021,21.74092126,17.583,0.01,16.447,0.007,16.116,0.005,15.995,0.007,15.967,0.021
1345,114.5510877,21.54940149,16.086,0.006,14.944,0.02,14.723,0.006,14.681,0.014,14.599,0.041
1600,114.5511267,21.57180821,18.513,0.013,17.278,0.012,16.822,0.006,16.675,0.025,16.624,0.011
1729,114.5511293,21.58438337,99.999,9.999,21.834,0.075,20.276,0.061,19.728,0.066,19.362,0.088
1527,114.5511475,21.56529476,19.486,0.023,17.948,0.014,17.39,0.008,17.202,0.022,17.129,0.016
2934,114.5511915,21.73409561,17.889,0.012,16.727,0.005,16.358,0.006,16.231,0.008,16.204,0.015
1951,114.5512053,21.60754668,17.489,0.01,16.381,0.013,16.049,0.005,15.958,0.026,15.922,0.01
2029,114.5512169,21.61645281,99.999,9.999,20.714,0.031,19.523,0.017,18.949,0.02,18.619,0.029
188,114.5512977,21.44928284,99.999,9.999,23.573,0.355,22.192,0.112,21.178,0.094,20.287,0.12
3005,114.5513021,21.74307535,99.999,9.999,21.188,0.04,19.729,0.022,18.375,0.012,17.657,0.022
117,114.5513976,21.44144521,16.684,0.007,14.871,0.009,14.153,0.016,99.999,9.999,13.746,0.009
2255,114.5515334,21.64251177,99.999,9.999,21.184,0.04,19.844,0.017,19.286,0.023,18.963,0.05
2003,114.5517027,21.61423373,15.859,0.008,14.73,0.013,14.497,0.006,14.447,0.024,14.456,0.007
1702,114.5517937,21.58255542,18.097,0.01,16.553,0.014,15.991,0.006,15.82,0.021,15.737,0.009
2411,114.5518077,21.66409366,18.705,0.018,17.417,0.008,16.949,0.011,16.791,0.013,16.73,0.017
2985,114.5522623,21.74138491,99.999,9.999,21.608,0.056,21.353,0.083,21.135,0.061,20.747,0.2
895,114.5523018,21.51925393,20.657,0.069,18.51,0.012,17.67,0.016,17.368,0.008,17.209,0.017
2290,114.5523965,21.64830598,15.761,0.008,14.608,0.014,14.346,0.01,14.281,0.029,14.284,0.007
2497,114.5524778,21.67561806,22.614,0.359,19.965,0.018,18.543,0.009,17.445,0.011,16.852,0.02
9,114.5524795,21.43030206,99.999,9.999,22.096,0.106,20.289,0.098,19.646,0.101,19.242,0.082
746,114.552681,21.50684771,99.999,9.999,21.885,0.08,20.345,0.036,19.163,0.016,18.538,0.032
2120,114.5529527,21.62893326,18.561,0.015,17.281,0.01,16.82,0.012,16.681,0.024,16.607,0.014
682,114.5530299,21.49963438,22.112,0.198,20.328,0.045,19.367,0.064,18.987,0.067,18.748,0.063
3025,114.5533737,21.74720745,99.999,9.999,21.23,0.044,19.92,0.024,19.315,0.023,19.017,0.045
763,114.5534843,21.50923194,99.999,9.999,22.842,0.161,21.7,0.092,20.698,0.049,19.886,0.105
1544,114.5535457,21.56916078,99.999,9.999,22.788,0.205,21.086,0.073,20.227,0.104,19.7,0.106
1243,114.5536065,21.54404977,21.296,0.097,19.146,0.014,18.302,0.017,18.001,0.016,17.837,0.025
1798,114.5536218,21.59278829,99.999,9.999,20.711,0.03,19.39,0.02,18.818,0.03,18.502,0.042
1121,114.5536702,21.53570828,20.996,0.067,19.989,0.02,19.629,0.026,19.51,0.037,19.479,0.069
2066,114.5537281,21.6234214,99.999,9.999,22.55,0.129,20.913,0.044,20.173,0.032,19.765,0.087
2470,114.553798,21.67351359,99.999,9.999,21.869,0.069,20.352,0.027,19.567,0.02,19.097,0.045
2017,114.553821,21.61741336,22.615,0.294,20.44,0.031,19.262,0.015,18.847,0.017,18.536,0.038
934,114.5538442,21.52286545,21.385,0.1,19.305,0.017,18.413,0.015,18.113,0.012,17.953,0.024
2810,114.5538564,21.7210041,99.999,9.999,23.2,0.192,21.942,0.11,20.958,0.054,20.522,0.16
874,114.5539751,21.51962465,99.999,9.999,21.583,0.15,20.799,0.153,20.607,0.177,20.246,0.152
2526,114.5541373,21.68046086,18.27,0.014,17.043,0.004,16.623,0.009,16.483,0.015,16.459,0.016
1538,114.5541643,21.56909645,18.841,0.019,17.402,0.011,16.878,0.006,16.686,0.026,16.601,0.014
1053,114.5542256,21.53182788,20.436,0.055,19.177,0.022,18.573,0.015,17.779,0.206,18.239,0.024
2007,114.554274,21.61708209,99.999,9.999,21.68,0.071,20.311,0.031,19.629,0.025,19.263,0.061
1116,114.554526,21.53624048,99.999,9.999,22.884,0.156,21.348,0.087,19.879,0.052,19.109,0.048
2593,114.5546363,21.68991033,99.999,9.999,22.055,0.082,20.607,0.038,19.28,0.022,18.494,0.033
1358,114.5546718,21.55368879,99.999,9.999,22.745,0.13,21.275,0.059,20.449,0.042,20.042,0.113
2021,114.5546991,21.61874482,19.357,0.023,18.321,0.018,17.967,0.011,17.843,0.019,17.77,0.023
569,114.5547488,21.49184287,99.999,9.999,22.712,0.138,21.135,0.064,20.18,0.04,19.571,0.071
1039,114.5548916,21.53132903,16.726,0.008,15.03,0.01,14.366,0.011,99.999,9.999,14.002,0.007
2410,114.5550502,21.66713546,99.999,9.999,20.859,0.033,19.567,0.016,18.596,0.015,18.048,0.031
1258,114.5552911,21.54670361,99.999,9.999,99.999,9.999,22.728,0.204,21.489,0.092,20.473,0.174
1375,114.5553245,21.55554661,19.641,0.027,18.1,0.018,17.505,0.01,17.323,0.016,17.217,0.015
2152,114.5553285,21.63551648,99.999,9.999,22.362,0.104,21.799,0.111,21.57,0.127,21.128,0.278
198,114.5553774,21.45476788,99.999,9.999,21.725,0.079,20.404,0.035,19.87,0.034,19.454,0.055
2834,114.5555003,21.72659499,21.921,0.207,19.573,0.017,18.628,0.015,18.318,0.013,18.089,0.03
713,114.5555292,21.50564669,17.888,0.012,16.726,0.012,16.295,0.012,16.141,0.006,16.088,0.015
2384,114.5556969,21.66395313,22.757,0.369,21.339,0.049,19.976,0.022,19.393,0.02,19.103,0.04
1462,114.555757,21.56348416,22.685,0.313,20.877,0.038,19.483,0.029,18.869,0.021,18.514,0.033
691,114.5557645,21.50307098,99.999,9.999,99.999,9.999,22.059,0.104,20.939,0.064,20.557,0.186
1164,114.5559178,21.54120357,99.999,9.999,21.947,0.069,20.535,0.03,19.846,0.024,19.408,0.061
2337,114.5559228,21.65928378,19.393,0.026,17.911,0.007,17.303,0.011,17.075,0.014,16.956,0.017
1593,114.5559608,21.57600489,16.782,0.008,15.684,0.014,15.438,0.004,15.377,0.024,15.381,0.013
2491,114.5563398,21.6787061,99.999,9.999,23.817,0.367,21.982,0.109,20.953,0.062,20.387,0.147
2865,114.5567279,21.73089681,99.999,9.999,99.999,9.999,22.666,0.193,21.234,0.073,20.416,0.128
2306,114.5568355,21.65477484,99.999,9.999,22.562,0.137,20.971,0.048,19.704,0.036,19.124,0.059
1931,114.5569739,21.6103751,15.57,0.005,14.3,0.007,13.878,0.036,99.999,9.999,13.696,0.011
1836,114.5570452,21.59926545,99.999,9.999,22.237,0.094,20.702,0.043,19.977,0.036,19.516,0.064
1321,114.5572397,21.55373928,99.999,9.999,23.26,0.254,21.939,0.085,20.933,0.052,20.462,0.132
2448,114.5572601,21.67338206,99.999,9.999,23.039,0.19,21.684,0.078,20.719,0.05,20.108,0.117
622,114.5575532,21.49837495,99.999,9.999,22.596,0.15,21.465,0.104,20.811,0.081,20.433,0.156
2979,114.5576099,21.74587191,99.999,9.999,20.881,0.028,19.494,0.017,18.852,0.013,18.469,0.028
