DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
5178,250.2701804,36.47535243,99.999,9.999,23.103,0.195,22.133,0.108,21.879,0.149,99.999,9.999
162,250.2702049,36.27408727,99.999,9.999,23.296,0.244,21.889,0.083,21.703,0.123,99.999,9.999
9948,250.2702399,36.52290932,99.999,9.999,23.081,0.243,22.046,0.123,21.604,0.112,99.999,9.999
4359,250.2702545,36.46242886,18.379,0.018,17.254,0.011,16.781,0.008,16.567,0.013,16.474,0.019
2730,250.2702903,36.42572081,21.618,0.143,20.845,0.031,20.475,0.031,20.231,0.036,20.298,0.171
18974,250.270291,36.56993501,21.279,0.15,20.407,0.03,19.99,0.034,19.793,0.03,19.876,0.16
2656,250.2703413,36.42344565,19.91,0.043,19.004,0.012,18.738,0.021,18.69,0.036,18.591,0.046
3256,250.2703582,36.43906164,99.999,9.999,21.217,0.044,20.629,0.036,20.468,0.045,20.719,0.33
7264,250.2703753,36.50007343,21.414,0.112,20.457,0.028,20.082,0.033,19.924,0.033,19.891,0.125
2850,250.2703891,36.42877542,21.995,0.191,20.9,0.03,20.485,0.037,20.202,0.054,20.197,0.181
6588,250.2703949,36.49284195,22.262,0.255,21.203,0.038,20.668,0.035,20.437,0.036,20.501,0.226
686,250.2704219,36.33160949,99.999,9.999,22.406,0.096,21.795,0.098,21.298,0.076,21.266,0.319
1789,250.2704222,36.39508523,21.237,0.096,20.337,0.03,19.906,0.026,19.741,0.028,19.793,0.108
871,250.2704567,36.34618656,99.999,9.999,22.825,0.129,21.847,0.096,21.414,0.093,20.775,0.24
10335,250.2704611,36.52546598,99.999,9.999,21.374,0.04,20.877,0.043,20.588,0.041,20.309,0.194
987,250.2704647,36.35362838,99.999,9.999,22.289,0.078,21.116,0.073,20.605,0.065,20.441,0.188
20156,250.2704652,36.57474274,99.999,9.999,21.777,0.064,21.209,0.055,20.963,0.068,99.999,9.999
3139,250.2705092,36.4357925,20.016,0.045,19.12,0.012,18.84,0.016,18.769,0.024,18.776,0.06
11426,250.2705099,36.53258189,20.864,0.072,19.941,0.023,19.594,0.029,19.435,0.031,19.495,0.094
5494,250.2705454,36.47927669,99.999,9.999,21.64,0.058,21.016,0.045,20.749,0.048,20.496,0.244
6158,250.2705987,36.48789227,20.944,0.094,19.874,0.025,19.495,0.041,19.388,0.039,19.366,0.095
5333,250.2706531,36.47699025,21.665,0.164,20.789,0.031,20.264,0.03,20.078,0.034,19.939,0.139
1708,250.2706534,36.3913735,99.999,9.999,22.146,0.09,21.452,0.076,21.134,0.084,20.998,0.3
9028,250.2706719,36.51540206,99.999,9.999,22.238,0.081,21.491,0.08,21.132,0.073,99.999,9.999
8423,250.2706724,36.51045232,99.999,9.999,22.936,0.161,21.731,0.066,21.166,0.079,20.703,0.335
2231,250.270709,36.41043418,99.999,9.999,22.25,0.088,21.705,0.093,21.375,0.099,99.999,9.999
535,250.2707338,36.31721538,21.525,0.158,20.335,0.023,19.915,0.025,19.798,0.037,19.689,0.093
2217,250.2707455,36.40992906,99.999,9.999,21.658,0.054,21.112,0.044,20.833,0.053,20.905,0.335
1368,250.2707679,36.37461231,99.999,9.999,22.604,0.126,21.664,0.062,21.151,0.088,20.811,0.283
11884,250.2708182,36.53510274,99.999,9.999,22.232,0.086,21.471,0.057,21.173,0.068,21.048,0.398
2531,250.2708292,36.41961163,22.272,0.215,21.104,0.037,20.616,0.033,20.326,0.049,20.408,0.168
2798,250.2708369,36.42705142,99.999,9.999,22.817,0.119,21.809,0.076,21.583,0.132,99.999,9.999
14652,250.2708571,36.5500841,22.48,0.381,20.83,0.038,20.352,0.034,20.115,0.036,20.056,0.164
1916,250.2708677,36.39993446,99.999,9.999,22.125,0.088,21.472,0.065,21.148,0.09,99.999,9.999
5144,250.2708849,36.47422152,19.134,0.023,18.108,0.01,17.772,0.012,17.631,0.013,17.571,0.024
820,250.2709124,36.34197737,21.489,0.172,20.386,0.022,19.999,0.029,19.76,0.026,19.696,0.106
14596,250.2709317,36.54970421,20.669,0.075,19.829,0.017,19.522,0.024,19.383,0.024,19.447,0.098
16450,250.2709721,36.55846303,21.513,0.148,20.359,0.023,19.99,0.03,19.811,0.026,19.911,0.115
5813,250.2709837,36.48314388,19.842,0.043,18.965,0.01,18.698,0.014,18.593,0.016,18.598,0.052
1965,250.2710064,36.40144789,99.999,9.999,22.648,0.132,21.69,0.095,21.255,0.08,99.999,9.999
3240,250.2710145,36.43794817,22.236,0.257,21.273,0.043,20.671,0.044,20.477,0.044,20.282,0.178
20067,250.2710651,36.57376335,21.792,0.188,20.614,0.033,20.145,0.039,20.059,0.037,20.051,0.156
7589,250.2710865,36.50229637,20.291,0.051,19.237,0.014,18.969,0.022,18.877,0.024,18.83,0.065
940,250.2711105,36.34960122,21.781,0.211,20.527,0.027,20.164,0.03,19.97,0.037,19.92,0.129
5245,250.2711166,36.47547026,19.83,0.039,18.845,0.011,18.594,0.013,18.509,0.015,18.447,0.038
9443,250.2711167,36.51829253,21.397,0.121,20.313,0.02,19.952,0.024,19.813,0.029,19.642,0.115
8529,250.2711476,36.51071497,22.17,0.241,21.084,0.041,20.527,0.028,20.463,0.043,20.186,0.196
5549,250.271198,36.47946454,99.999,9.999,22.646,0.108,21.86,0.079,21.623,0.091,99.999,9.999
8596,250.2712014,36.51123582,21.235,0.112,20.183,0.022,19.792,0.024,19.659,0.031,19.745,0.1
4084,250.2712033,36.45684417,99.999,9.999,21.608,0.047,20.964,0.052,20.771,0.054,20.52,0.225
1712,250.2712474,36.39097787,99.999,9.999,22.662,0.152,21.834,0.092,21.419,0.073,99.999,9.999
5061,250.2712509,36.47240813,16.68,0.011,15.113,0.011,14.496,0.009,99.999,9.999,14.071,0.012
6985,250.2712728,36.49622639,20.381,0.051,19.415,0.016,19.112,0.016,18.99,0.022,18.969,0.068
7223,250.2712966,36.49873357,20.378,0.053,19.506,0.015,19.199,0.017,19.096,0.022,19.012,0.058
1285,250.2713893,36.36979487,20.732,0.078,19.791,0.017,19.471,0.022,19.381,0.038,19.368,0.083
8747,250.2713896,36.51241992,18.616,0.021,17.471,0.008,16.995,0.014,16.8,0.014,16.728,0.019
2298,250.271405,36.41178505,22.021,0.238,20.73,0.033,20.278,0.022,20.175,0.043,20.187,0.186
20301,250.2714186,36.57428766,21.661,0.18,20.626,0.029,20.233,0.037,20.025,0.047,19.794,0.12
3176,250.2714262,36.43571984,99.999,9.999,22.721,0.138,21.826,0.092,21.533,0.092,99.999,9.999
10151,250.2714281,36.52332268,21.696,0.195,20.943,0.123,20.727,0.129,20.692,0.157,20.856,0.354
9858,250.2714432,36.52098291,99.999,9.999,21.822,0.069,21.172,0.057,20.936,0.062,20.92,0.309
13489,250.2714513,36.54339748,99.999,9.999,22.944,0.189,22.179,0.091,22.062,0.196,99.999,9.999
4386,250.2715288,36.46154169,20.651,0.076,19.733,0.017,19.402,0.019,19.289,0.02,19.297,0.061
2764,250.2715535,36.42561292,20.199,0.042,19.339,0.012,19.081,0.012,19.008,0.036,19.022,0.064
2896,250.2715755,36.42894259,99.999,9.999,21.93,0.069,21.247,0.044,20.949,0.06,20.907,0.27
1998,250.2716009,36.40195403,21.015,0.101,20.051,0.016,19.73,0.023,19.571,0.031,19.615,0.096
4627,250.2716045,36.46545052,99.999,9.999,22.62,0.127,21.695,0.077,21.377,0.082,21.013,0.258
12266,250.2716359,36.53660912,99.999,9.999,21.559,0.05,21.004,0.045,20.742,0.052,99.999,9.999
7761,250.2716362,36.50343478,21.433,0.124,20.435,0.027,19.987,0.03,19.846,0.04,19.607,0.111
7898,250.2716379,36.50467716,99.999,9.999,22.375,0.087,21.602,0.068,21.432,0.119,20.813,0.32
1537,250.2716479,36.38238754,20.886,0.082,19.972,0.018,19.595,0.025,19.518,0.036,19.415,0.081
8698,250.271789,36.51163968,99.999,9.999,21.951,0.063,21.255,0.075,21.082,0.055,21.007,0.356
1238,250.2718166,36.3671318,20.318,0.048,19.506,0.016,19.247,0.021,19.147,0.036,19.073,0.059
6142,250.271894,36.48636281,99.999,9.999,21.651,0.052,21.02,0.046,20.819,0.047,99.999,9.999
2478,250.2719132,36.41666786,19.873,0.036,19.007,0.015,18.758,0.014,18.661,0.034,18.709,0.051
11343,250.2719134,36.53066967,20.743,0.087,19.742,0.016,19.438,0.022,19.279,0.022,19.374,0.084
3051,250.2719588,36.43220564,20.034,0.039,19.184,0.014,18.905,0.02,18.841,0.028,18.798,0.051
2694,250.2719653,36.42258405,20.281,0.049,19.434,0.014,19.124,0.02,19.041,0.028,18.965,0.06
10952,250.2720213,36.52810982,22.314,0.305,20.256,0.106,18.813,0.132,18.433,0.122,18.352,0.099
954,250.2720216,36.35002515,21.957,0.249,20.614,0.029,20.151,0.028,19.951,0.034,19.824,0.102
10286,250.2720236,36.5235845,22.064,0.2,21.458,0.13,21.348,0.156,21.213,0.199,99.999,9.999
10613,250.272031,36.52583245,99.999,9.999,22.54,0.107,21.971,0.08,21.387,0.095,99.999,9.999
1790,250.2720673,36.39340879,20.749,0.084,19.758,0.018,19.453,0.02,19.317,0.031,19.375,0.069
4014,250.2720706,36.45454226,21.635,0.139,20.663,0.032,20.195,0.024,20.07,0.034,19.949,0.143
800,250.2720822,36.33855056,19.175,0.032,18.058,0.01,17.67,0.012,17.519,0.021,17.473,0.023
4689,250.2721207,36.4659065,99.999,9.999,23.22,0.219,21.736,0.093,21.26,0.127,20.766,0.328
17762,250.2721605,36.56316924,22.378,0.333,21.723,0.065,21.03,0.046,20.819,0.049,20.533,0.245
6002,250.2722028,36.48406943,22.521,0.371,21.285,0.038,21.008,0.05,20.832,0.06,99.999,9.999
5928,250.2722114,36.48327064,99.999,9.999,21.496,0.045,20.952,0.034,20.609,0.041,20.231,0.203
11226,250.2722223,36.52966936,20.496,0.062,19.617,0.019,19.323,0.022,19.234,0.019,19.293,0.085
2353,250.2722301,36.41233915,21.909,0.2,20.957,0.029,20.461,0.034,20.275,0.048,20.064,0.145
5030,250.2722598,36.47084653,22.327,0.303,21.076,0.037,20.561,0.034,20.45,0.049,20.546,0.264
2302,250.2723466,36.41084347,19.914,0.04,19.025,0.018,18.722,0.028,18.616,0.037,18.678,0.048
1670,250.2723802,36.38787397,22.152,0.228,20.955,0.035,20.532,0.035,20.327,0.045,20.116,0.125
3461,250.2723915,36.44160432,22.188,0.245,21.015,0.034,20.529,0.034,20.332,0.034,20.328,0.277
1972,250.2723938,36.40024511,19.172,0.029,17.913,0.008,17.365,0.01,17.168,0.034,17.059,0.021
1501,250.2723939,36.37966178,22.161,0.208,20.701,0.023,20.323,0.028,20.146,0.039,20.231,0.19
5597,250.2724095,36.47890063,20.622,0.054,19.775,0.015,19.461,0.019,19.326,0.015,19.246,0.091
6629,250.272432,36.49122568,21.211,0.107,20.329,0.021,19.921,0.019,19.775,0.027,19.969,0.155
1217,250.2724537,36.36537683,17.042,0.012,15.688,0.005,15.085,0.018,14.835,0.032,14.711,0.026
17125,250.272469,36.55997731,99.999,9.999,22.762,0.141,21.944,0.091,21.667,0.118,20.72,0.259
4121,250.2725033,36.45616308,99.999,9.999,21.957,0.073,21.252,0.061,20.975,0.062,20.976,0.39
2016,250.2725047,36.40163954,99.999,9.999,22.36,0.098,21.695,0.064,21.366,0.083,99.999,9.999
2803,250.2725163,36.42541738,22.665,0.315,21.13,0.043,20.692,0.037,20.389,0.046,20.56,0.263
1363,250.2725313,36.37236694,99.999,9.999,22.949,0.177,21.846,0.088,21.374,0.086,99.999,9.999
256,250.2725323,36.28345717,20.454,0.06,19.65,0.017,19.382,0.022,19.293,0.02,19.245,0.059
7813,250.2725896,36.50297755,21.942,0.228,20.554,0.066,19.897,0.083,19.679,0.084,19.872,0.143
9049,250.2725957,36.5135699,19.868,0.036,19.003,0.012,18.739,0.018,18.639,0.018,18.618,0.049
1096,250.2726208,36.35795701,99.999,9.999,22.869,0.137,21.949,0.098,21.644,0.111,99.999,9.999
