DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
9271,290.3657155,37.96904798,20.477,0.072,18.146,0.017,17.176,0.009,16.821,0.009,16.595,0.016
3447,290.3658294,37.81676959,21.57,0.144,19.673,0.016,18.836,0.012,18.572,0.015,18.399,0.031
328,290.3658799,37.7578166,21.362,0.138,19.877,0.016,19.125,0.018,18.897,0.02,18.819,0.054
3883,290.3659319,37.8259239,99.999,9.999,22.373,0.116,21.066,0.05,20.334,0.041,19.971,0.154
7274,290.3659656,37.9109952,99.999,9.999,22.04,0.071,20.5,0.035,19.439,0.025,18.815,0.055
6756,290.3660053,37.89647858,99.999,9.999,22.381,0.107,20.669,0.037,20.02,0.038,19.482,0.085
5701,290.3660102,37.8685066,22.388,0.35,20.901,0.035,19.737,0.02,19.347,0.022,19.108,0.089
8359,290.3661157,37.94169342,99.999,9.999,22.024,0.085,21.602,0.076,21.394,0.092,99.999,9.999
6076,290.3661275,37.87829466,17.013,0.019,15.338,0.023,14.95,0.022,14.89,0.018,14.866,0.015
6071,290.3661509,37.8781349,18.856,0.09,99.999,9.999,16.543,0.095,15.935,0.034,15.667,0.028
5870,290.366183,37.87295469,20.503,0.06,18.73,0.016,18.02,0.009,17.787,0.015,17.651,0.024
1698,290.3662257,37.78147112,99.999,9.999,22.077,0.075,20.457,0.034,19.431,0.029,18.866,0.05
9124,290.3662337,37.9642444,99.999,9.999,21.622,0.059,20.855,0.044,20.515,0.049,20.15,0.198
5400,290.3662504,37.86097346,21.362,0.109,20.396,0.02,19.931,0.022,19.815,0.034,19.925,0.156
1026,290.3662588,37.76957375,99.999,9.999,21.196,0.04,19.709,0.021,19.006,0.017,18.568,0.046
4917,290.366286,37.84956588,22.052,0.219,20.495,0.028,19.691,0.019,19.384,0.024,19.288,0.089
5325,290.3663446,37.85931242,99.999,9.999,23.112,0.191,21.798,0.101,21.115,0.078,20.698,0.27
10089,290.3663606,37.9934637,20.994,0.102,19.058,0.013,18.327,0.01,18.078,0.011,18.023,0.029
2956,290.3663974,37.80662675,21.559,0.164,20.169,0.017,19.61,0.017,19.457,0.019,19.54,0.093
8478,290.3664295,37.94531032,20.078,0.048,18.27,0.017,17.44,0.011,17.118,0.015,16.916,0.016
6448,290.3664522,37.88819148,19.436,0.027,17.965,0.01,17.372,0.007,17.164,0.016,17.055,0.023
7588,290.3664718,37.91959686,22.077,0.241,20.178,0.036,19.148,0.038,18.781,0.043,18.673,0.072
1736,290.3665024,37.78220134,19.158,0.027,17.737,0.006,17.182,0.007,17.028,0.01,16.953,0.016
3545,290.3665043,37.8185077,99.999,9.999,99.999,9.999,22.165,0.127,20.813,0.07,19.885,0.153
9148,290.3665764,37.96473434,99.999,9.999,22.907,0.177,21.477,0.072,20.777,0.065,20.376,0.193
